demand_id,x,y,population,central
340,292466.7174,5628997.702800001,3.699216,0
341,292566.7174,5628997.702800001,0.912077,0
342,292716.7174,5628997.702800001,15.004732,0
343,292666.7174,5628997.702800001,3.202876,0
344,292016.7174,5628997.702800001,13.305723,0
345,292066.7174,5628997.702800001,1.139036,0
346,292216.7174,5628997.702800001,5.328228,0
347,292316.7174,5628997.702800001,9.595902,0
348,292266.7174,5628997.702800001,3.890116,0
349,292866.7174,5628947.702800001,14.964431,0
350,292816.7174,5628947.702800001,0.583305,0
351,292966.7174,5628947.702800001,3.436198,0
352,292916.7174,5628947.702800001,6.233942,0
353,293066.7174,5628947.702800001,0.640575,0
354,293016.7174,5628947.702800001,0.511187,0
355,293166.7174,5628947.702800001,5.222173,0
356,290566.7174,5631897.702800001,0.576942,0
357,293116.7174,5628947.702800001,0.697845,0
358,292466.7174,5628947.702800001,3.794666,0
359,292416.7174,5628947.702800001,5.298533,0
360,290616.7174,5631897.702800001,0.710572,0
361,292566.7174,5628947.702800001,0.666029,0
362,292516.7174,5628947.702800001,26.65811,0
363,292666.7174,5628947.702800001,5.338834,0
364,292116.7174,5625097.702800001,4.248583,0
365,292766.7174,5628947.702800001,1.189943,0
366,292716.7174,5628947.702800001,8.138699,0
367,292266.7174,5628947.702800001,1.573864,0
368,292216.7174,5628947.702800001,3.42135,0
369,292366.7174,5628947.702800001,8.115367,0
370,289766.7174,5631897.702800001,0.294834,0
371,292316.7174,5628947.702800001,6.091828,0
372,293766.7174,5625047.702800001,2.333221,0
373,289866.7174,5631897.702800001,3.423472,0
374,289816.7174,5631897.702800001,2.382007,0
375,291866.7174,5628947.702800001,2.248377,0
376,291266.7174,5628947.702800001,8.410201,0
377,291216.7174,5628947.702800001,6.01971,0
378,291366.7174,5628947.702800001,6.193641,0
379,291316.7174,5628947.702800001,0.816627,0
380,288716.7174,5631897.702800001,0.492098,0
381,291466.7174,5628947.702800001,1.597196,0
382,291416.7174,5628947.702800001,3.902842,0
383,290266.7174,5636847.702800001,1.656587,0
384,290966.7174,5628947.702800001,10.87281,0
385,288366.7174,5631897.702800001,2.695931,0
386,290216.7174,5636847.702800001,8.98078,0
387,291066.7174,5628947.702800001,16.28164,0
388,288466.7174,5631897.702800001,8.991385,0
389,291016.7174,5628947.702800001,11.801856,0
390,288416.7174,5631897.702800001,1.658708,0
391,291166.7174,5628947.702800001,9.648929,0
392,291116.7174,5628947.702800001,14.039627,0
393,291916.7174,5625047.702800001,1.202669,0
394,294366.7174,5631897.702800001,3.968597,0
395,292016.7174,5625047.702800001,30.836697,0
396,292116.7174,5625047.702800001,1.211154,0
397,292066.7174,5625047.702800001,43.226101,0
398,295216.7174,5628997.702800001,21.155951,1
399,295166.7174,5628997.702800001,46.552001,1
400,291516.7174,5625047.702800001,30.034918,0
401,295316.7174,5628997.702800001,67.114041,1
402,291466.7174,5625047.702800001,25.398171,0
403,293966.7174,5631897.702800001,1.295998,0
404,295266.7174,5628997.702800001,50.603321,1
405,291616.7174,5625047.702800001,6.734524,0
406,295416.7174,5628997.702800001,75.579391,1
407,291566.7174,5625047.702800001,21.030805,0
408,295366.7174,5628997.702800001,50.726346,1
409,291716.7174,5625047.702800001,13.583588,0
410,295516.7174,5628997.702800001,28.923456,1
411,291666.7174,5625047.702800001,16.451329,0
412,295466.7174,5628997.702800001,40.572592,1
413,291816.7174,5625047.702800001,0.70633,0
414,293566.7174,5628797.702800001,25.603919,0
415,291766.7174,5625047.702800001,0.562094,0
416,293566.7174,5631897.702800001,8.681703,0
417,293616.7174,5628797.702800001,1.30024,0
418,293516.7174,5631897.702800001,4.259189,0
419,293766.7174,5628797.702800001,51.562062,0
420,293716.7174,5628797.702800001,30.05825,0
421,293866.7174,5628797.702800001,45.879609,0
422,291266.7174,5625047.702800001,1.461445,0
423,293816.7174,5628797.702800001,45.739616,0
424,291416.7174,5625047.702800001,35.946451,0
425,293166.7174,5628797.702800001,5.784267,0
426,291366.7174,5625047.702800001,4.874311,0
427,293116.7174,5628797.702800001,1.671435,0
428,291466.7174,5636897.702800001,8.193848,0
429,293266.7174,5628797.702800001,7.947799,0
430,291416.7174,5636897.702800001,7.245712,0
431,293216.7174,5628797.702800001,7.920225,0
432,293116.7174,5631897.702800001,0.666029,0
433,293366.7174,5628797.702800001,6.062132,0
434,293266.7174,5631897.702800001,3.480741,0
435,293316.7174,5628797.702800001,2.723505,0
436,293216.7174,5631897.702800001,6.899971,0
437,293466.7174,5628797.702800001,2.545332,0
438,293416.7174,5628797.702800001,4.657958,0
439,293316.7174,5631897.702800001,11.352181,0
440,292766.7174,5628797.702800001,2.163532,0
441,292716.7174,5628797.702800001,1.336299,0
442,292866.7174,5628797.702800001,7.994464,0
443,292766.7174,5631897.702800001,0.585426,0
444,292816.7174,5628797.702800001,1.945058,0
